Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
535.23,526.06,482.66,499.01,502.79,492.97,545.7,530.1,546.28,475.15,623.25,487.05,592.95,568.11,531.65,546.05,345.23,319.72,462.74,462.64,469.71,500.0,337.21,327.06,254.0,193.65,359.85,289.17,452.99,321.18,502.14,323.45,653.99,617.2,637.03,625.23,592.09,550.56,531.57,556.24,392.01,411.72,463.98,474.77,570.82,573.89,583.37,570.05,572.84,533.27,548.2,551.66,509.97,510.9,478.27,431.39,446.32,463.57,522.41,518.63,513.23,523.95,554.93,591.9,554.73,577.87,537.63,544.06,576.44,571.86,535.6,502.52,711.79,673.93,557.43,555.73,459.73,443.8,614.87,609.3,587.72,546.0,403.75,375.66,506.28,500.91,286.47,332.81,349.83,367.18,464.58,444.48,524.21,453.74,644.85,589.94,604.57,564.81,576.49,530.45,502.08,448.68,545.57,527.37,626.49,615.28,435.92,358.74,633.94,675.96,613.89,599.19,653.71,659.3,613.93,620.81,646.84,597.8,674.64,632.25,618.6,659.97,613.51,614.51,595.81,578.61,629.22,629.65,673.0,690,645.53,627.94,637.69,630.25,552.7,534.38,567.67,527.36,600.76,579.39,640.63,605.41,635.37,624.59,628.22,617.52,571.6,598.45,605.57,605.44,647.98,647.99,391.83,364.39,531.1,521.0,469.97,466.0,429.02,432.35,515.77,494.88,632.8,605.8,615.39,609.0
533.22,522.07,482.47,497.44,502.05,490.76,544.08,526.81,545.65,473.79,622.16,484.68,589.83,564.51,529.32,543.86,342.21,317.05,461.61,461.12,467.63,497.16,335.19,324.78,251.52,191.76,354.44,285.84,449.61,317.52,498.82,321.21,650.64,614.92,632.24,621.65,588.53,546.92,526.55,553.13,387.8,412.44,460.69,471.07,569.47,571.18,582.24,570.23,569.97,527.93,546.97,551.25,508.24,509.93,475.41,425.01,443.54,462.15,518.53,515.76,509.19,519.01,551.79,587.33,552.47,575.29,537.08,543.03,573.2,568.5,530.46,497.77,704.16,668.83,555.05,552.81,456.67,440.61,608.18,602.41,582.6,543.93,400.14,374.19,504.88,499.45,286.55,333.43,347.92,364.94,462.36,444.23,520.89,452.18,638.85,584.75,600.44,562.61,573.54,530.19,500.42,447.07,544.87,526.14,622.54,611.48,432.3,355.91,613.94,662.83,607.22,592.85,647.61,657.33,612.14,611.16,636.0,590.84,672.64,627.14,613.07,655.32,611.03,612.47,594.54,576.75,624.63,623.65,666.5,686,638.42,620.63,635.81,629.03,547.91,529.63,564.5,518.93,597.15,577.52,635.27,597.85,632.74,619.38,627.44,613.7,567.46,591.42,603.29,603.38,643.37,644.36,384.45,355.58,532.4,523.0,467.81,466.52,427.72,431.2,506.46,487.17,620.6,586.0,618.28,602.33
531.78,520.24,478.61,493.74,497.71,488.0,542.76,523.73,543.07,471.18,618.9,481.85,585.28,559.33,527.97,541.19,342.41,319.34,457.47,455.42,466.61,494.96,335.78,326.28,251.41,193.31,355.63,286.73,449.23,318.59,497.35,319.75,646.08,608.66,631.33,621.26,585.57,545.07,527.24,553.84,387.36,413.42,466.4,472.23,568.54,570.56,580.14,568.78,570.89,529.15,546.77,551.93,508.76,509.98,475.91,424.62,442.91,459.85,518.44,514.85,509.5,518.94,552.25,586.96,550.15,572.78,536.07,543.2,572.09,567.27,528.69,495.91,700.95,666.56,556.2,553.37,458.8,442.44,603.03,595.48,577.14,539.5,396.79,371.38,503.35,497.64,283.44,330.58,347.07,363.55,462.11,443.59,520.64,454.07,637.67,585.33,600.11,563.99,572.96,527.75,500.77,447.97,544.23,526.58,624.44,614.58,432.88,355.09,623.73,665.29,611.44,591.04,646.86,653.5,612.05,614.29,632.26,585.48,674.2,626.57,613.32,654.96,613.76,613.22,596.69,578.77,624.14,622.59,663.0,688,638.73,620.68,638.02,629.44,548.35,527.17,561.17,516.57,600.06,575.24,637.41,598.43,635.03,620.53,629.59,615.15,562.46,586.33,600.05,599.05,641.03,642.16,387.45,360.49,528.2,517.67,465.44,465.15,430.36,432.68,498.3,477.22,627.8,607.4,619.33,616.5
532.73,520.29,478.37,493.31,497.38,488.03,543.83,523.05,543.79,471.22,618.39,481.15,585.15,559.83,528.8,541.33,340.35,316.94,455.77,454.87,466.09,494.45,332.72,323.23,249.01,190.96,354.08,286.43,444.44,314.62,492.82,316.11,645.65,608.82,628.53,619.07,584.15,543.12,526.64,551.36,387.98,409.75,459.86,471.55,566.09,568.87,579.23,568.63,567.29,525.81,546.42,552.09,507.2,510.65,474.07,426.04,442.34,459.17,518.68,514.99,508.5,518.81,549.77,585.11,549.36,569.95,532.33,540.78,570.16,565.24,528.64,497.95,703.36,667.53,557.51,554.09,460.06,444.15,603.52,596.13,577.16,538.09,394.84,369.91,501.3,496.79,284.58,332.14,345.91,363.86,461.07,443.28,518.2,451.5,637.24,585.5,600.6,562.52,572.81,528.54,499.59,446.09,544.29,525.48,621.51,609.16,434.29,358.68,633.17,672.45,610.33,592.58,649.86,660.11,612.36,610.76,641.21,590.2,670.8,628.82,615.64,657.29,610.58,611.34,595.63,579.86,627.55,627.49,667.5,691,642.09,625.94,635.81,629.17,549.84,528.19,561.67,518.29,597.41,574.15,639.63,604.29,635.23,625.97,630.59,619.11,563.1,587.54,596.9,597.09,639.8,640.39,388.29,362.1,528.7,521.11,466.97,465.73,427.21,430.8,507.05,491.1,632.4,603.0,623.89,625.33
532.58,519.47,478.65,493.46,498.17,488.25,545.98,526.21,545.6,473.64,619.3,482.79,586.41,562.88,528.89,540.3,339.54,315.49,457.12,455.76,463.78,491.56,332.9,325.06,248.51,192.68,351.85,285.52,447.31,316.04,493.7,320.41,647.59,611.39,627.77,618.81,582.28,541.38,525.1,550.78,388.72,409.24,457.77,467.75,568.01,571.19,578.58,568.22,569.45,527.34,545.74,551.33,506.89,509.8,475.3,426.68,443.5,459.75,517.81,514.03,506.26,515.6,549.7,584.05,550.47,571.69,531.52,541.59,569.11,564.02,527.25,494.69,703.04,668.02,554.96,552.6,456.84,441.34,609.08,602.15,578.28,539.7,395.89,370.95,502.65,497.6,285.09,330.91,346.7,364.57,459.34,440.67,518.23,450.9,640.76,589.57,599.71,561.25,571.46,528.02,500.2,447.69,543.95,525.32,621.69,608.35,436.34,358.57,638.25,670.97,606.54,593.28,649.71,659.7,611.91,618.88,642.16,591.12,667.4,625.93,615.49,656.21,611.28,612.72,594.28,577.68,627.86,628.75,664.5,691,642.91,626.9,638.69,632.19,547.84,524.46,563.17,517.0,597.53,572.03,635.27,598.9,633.29,623.5,625.85,613.81,563.6,590.73,597.11,597.89,641.51,641.73,382.08,354.98,532.8,524.67,470.22,469.27,428.0,434.15,514.12,496.14,632.4,604.6,624.39,621.5
532.22,519.44,476.59,492.18,496.71,487.09,546.65,525.49,545.44,472.6,621.52,483.74,587.7,563.1,528.2,539.75,342.77,317.31,455.18,454.31,463.44,492.34,334.09,324.96,249.83,191.93,352.98,287.22,447.27,317.43,496.37,320.58,649.26,613.61,628.15,618.18,581.78,542.06,527.54,552.83,389.86,410.27,461.73,469.27,569.28,571.9,578.88,567.91,569.83,528.33,545.51,551.22,507.38,510.62,474.75,425.76,442.98,460.79,518.13,514.07,507.54,516.65,550.66,584.67,550.95,570.72,533.06,542.61,569.57,565.0,526.73,495.13,701.15,665.66,554.5,552.72,458.22,441.26,608.94,601.51,581.17,540.55,399.54,372.11,504.25,498.41,284.03,331.17,346.98,363.83,459.22,440.69,517.88,451.16,640.69,583.33,598.35,559.99,571.21,526.59,500.42,447.11,543.52,525.4,619.51,605.76,436.09,356.56,619.87,667.1,605.72,590.26,648.22,657.32,609.54,613.29,638.0,587.36,667.08,623.04,613.69,655.18,612.08,612.27,594.52,576.36,626.31,626.41,665.5,684,639.53,621.47,637.33,629.33,551.56,534.44,566.06,523.64,598.29,574.73,633.22,596.75,631.17,620.56,624.7,610.78,566.47,591.14,596.13,596.31,640.89,641.38,388.56,362.45,533.9,524.56,469.06,468.0,428.85,433.58,513.63,495.4,614.6,584.8,614.89,601.67
532.44,520.13,478.04,493.14,498.35,488.91,546.8,525.33,545.67,472.66,622.28,483.12,586.96,562.56,529.66,541.59,339.52,317.12,455.96,455.62,462.86,492.76,332.06,323.83,248.88,190.67,352.28,285.25,446.17,315.63,494.56,317.66,649.22,613.99,626.56,617.81,579.29,539.7,527.6,552.82,389.42,411.1,460.84,471.09,568.16,570.32,579.01,567.99,569.81,528.33,545.65,551.38,506.66,510.67,474.0,425.32,442.96,460.39,518.28,514.09,508.31,517.72,550.44,584.6,550.45,570.57,532.81,542.63,569.58,564.2,527.62,494.69,699.36,664.86,553.72,552.02,455.77,441.38,607.41,599.63,579.19,540.75,398.59,372.23,503.43,498.39,285.7,332.0,345.94,363.78,459.62,441.18,517.78,452.14,635.59,581.48,598.58,561.78,571.36,527.91,499.36,447.17,543.06,524.61,620.59,610.41,435.06,356.11,619.0,662.07,606.23,589.18,647.99,652.56,610.39,609.18,631.79,581.92,669.36,620.82,611.54,656.1,611.72,613.14,594.38,576.86,625.94,623.55,666.0,687,637.26,616.05,639.48,628.86,551.33,530.77,563.83,521.07,597.5,575.76,632.4,594.03,632.17,618.44,625.26,611.0,563.24,587.05,597.4,597.8,639.57,639.82,386.29,360.47,528.1,522.11,466.38,466.64,427.15,430.87,504.98,485.4,618.6,592.2,607.94,608.33
533.29,521.08,480.53,495.24,501.26,491.06,546.72,526.35,546.3,474.05,620.65,484.4,585.26,561.57,529.93,541.84,340.03,317.47,457.96,456.43,464.87,492.66,333.57,325.62,250.33,193.37,354.43,287.05,449.75,315.64,499.21,321.02,646.79,609.98,629.05,620.03,581.81,539.92,524.74,550.15,387.2,411.51,459.11,471.0,566.2,569.6,577.6,567.03,569.06,527.98,545.45,551.25,507.17,510.47,475.66,429.19,443.22,460.3,518.85,515.18,508.73,517.28,551.93,586.49,551.08,573.02,534.21,542.89,570.16,564.63,527.39,496.51,701.17,666.01,554.49,552.75,457.08,441.2,606.44,600.61,578.88,540.49,395.81,371.67,503.57,498.58,284.84,331.33,347.62,365.42,459.64,441.69,519.98,452.87,634.31,581.42,598.06,560.92,570.94,527.3,501.01,447.86,543.81,525.0,621.84,612.22,433.38,354.33,624.98,660.85,606.2,589.44,645.59,650.34,610.91,605.96,636.84,584.92,672.72,629.11,611.76,653.28,612.03,612.8,594.99,579.19,627.02,627.39,662.5,692,641.58,621.11,640.5,630.42,547.47,520.56,559.67,512.79,597.09,568.48,636.88,596.77,634.89,621.44,629.22,617.3,562.3,585.73,598.66,599.67,643.37,643.09,384.75,356.82,527.7,520.89,466.88,468.03,427.34,431.92,503.07,484.21,633.2,606.0,620.67,615.33
532.92,521.08,477.99,493.07,499.32,489.46,547.37,527.11,545.82,474.21,622.08,484.83,588.1,564.41,529.69,541.2,342.13,317.47,455.4,454.1,463.63,492.94,333.66,325.44,250.43,193.66,355.51,287.87,448.81,316.76,499.15,321.01,647.65,612.36,628.97,619.39,582.89,541.42,526.39,551.55,389.8,407.91,460.64,467.36,568.34,571.69,579.8,568.49,570.71,529.96,546.78,552.44,508.15,510.99,476.59,430.21,444.16,461.19,519.47,515.7,509.84,518.42,552.99,588.21,552.3,573.64,536.03,544.28,570.65,566.17,527.39,495.72,699.91,664.42,553.92,552.56,454.51,439.88,612.06,605.36,582.91,541.63,398.16,372.26,505.41,499.15,283.39,330.92,346.32,365.08,459.78,440.86,518.93,451.27,639.96,587.97,600.17,563.01,572.73,527.6,500.63,446.19,543.35,524.46,620.88,609.92,439.3,356.13,640.15,674.69,607.12,590.91,646.82,657.71,611.05,613.32,638.79,583.24,664.68,621.61,612.43,650.74,610.71,610.95,591.9,576.52,626.63,628.57,663.5,686,641.85,621.94,637.19,627.81,548.02,530.67,564.44,520.07,598.88,573.12,634.58,596.19,631.46,620.65,621.85,609.59,566.46,594.22,596.67,597.79,640.0,641.08,389.08,363.05,531.8,525.89,469.09,466.7,428.53,432.02,514.54,496.47,625.4,591.2,615.33,620.0
533.56,521.68,480.42,495.51,501.48,491.2,547.9,528.11,547.16,474.89,624.13,485.48,588.74,565.28,529.23,541.01,336.4,314.63,458.32,458.05,463.64,492.8,330.83,322.38,248.87,190.91,351.78,284.91,447.31,312.97,497.13,318.2,650.05,614.15,628.39,618.43,582.03,542.26,524.18,549.99,385.94,409.19,459.72,468.61,568.0,570.65,578.78,568.07,569.59,527.77,546.24,551.56,506.72,510.34,475.46,427.91,442.3,460.15,519.1,514.7,508.56,518.41,551.02,586.87,552.13,572.82,533.38,542.24,570.03,565.78,526.35,495.45,699.01,664.38,554.88,552.52,457.06,441.2,612.45,605.27,583.14,543.05,398.03,373.6,504.36,498.81,286.21,333.16,347.26,365.27,458.92,442.64,520.78,454.35,635.46,580.77,597.29,558.1,569.27,526.4,500.6,448.84,542.77,525.56,620.35,610.52,430.7,351.5,617.94,659.03,603.08,585.97,643.14,643.46,604.78,611.34,636.21,584.56,666.88,622.29,612.65,652.68,610.48,612.25,594.1,576.77,626.75,626.2,667.5,690,639.89,619.06,638.69,631.56,548.0,526.1,562.17,517.43,597.18,571.97,632.55,594.03,632.51,619.0,624.93,611.19,563.71,590.04,597.98,600.79,641.65,641.74,380.75,352.34,531.4,521.22,465.25,464.55,423.62,428.93,507.35,487.19,627.8,593.4,611.11,600.67
