Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
812.89,750.14,818.05,789.07,808.2,740.19,880.7,756.48,827.1,646.93,800.49,619.75,851.71,792.65,838.41,828.5,447.2,494.36,804.31,808.84,597.23,610.88,522.63,572.59,418.74,411.97,596.33,511.82,539.44,535.2,537.23,413.01,916.39,876.54,892.86,887.62,767.73,734.61,829.19,811.5,553.82,569.3,435.36,612.61,781.85,791.58,752.44,761.86,786.6,748.39,729.76,773.09,750.21,769.62,731.52,734.22,649.81,654.75,789.16,761.36,783.29,752.03,807.97,779.9,793.9,768.43,764.1,769.47,760.76,746.43,750.57,721.41,957.39,932.98,787.8,824.88,601.45,638.67,878.08,862.24,819.55,776.06,622.89,624.28,685.49,738.15,373.9,482.24,432.1,456.22,759.08,689.62,738.48,669.78,916.6,885.97,887.82,871.7,830.61,821.91,671.5,637.92,766.13,729.99,802.0,782.74,580.31,580.43,879.42,967.96,875.64,762.77,792.91,798.25,828.06,831.13,1091.8,1013.8,1007.8,936.5,876.1,945.33,931.69,926.03,890.47,880.88,948.88,959.98,766.0,812,1021.5,1004.7,1010.8,1001.5,841.79,769.44,831.22,783.21,914.24,870.64,964.41,964.04,960.0,961.53,892.96,929.3,818.13,841.2,874.57,871.37,932.79,931.08,494.82,513.83,452.1,516.67,470.53,502.67,343.08,398.75,656.21,640.84,794.4,766.4,914.56,748.83
805.72,742.79,810.01,781.59,798.44,731.45,873.55,749.51,819.38,639.86,795.82,619.54,843.89,786.64,829.07,820.94,448.35,493.0,794.18,800.7,590.3,604.23,522.02,572.64,421.07,411.37,592.49,509.73,535.63,525.93,532.72,411.94,912.31,867.93,890.29,885.24,777.45,740.4,827.5,808.45,552.69,567.14,425.37,607.64,779.09,790.36,749.83,760.48,784.9,744.74,726.2,771.04,747.86,768.12,731.66,730.84,650.45,653.3,783.47,755.35,774.54,741.68,804.52,776.68,791.12,765.62,763.69,768.12,756.76,745.33,739.04,713.61,942.77,921.06,786.93,824.73,596.87,638.38,866.96,851.62,811.52,769.97,615.78,618.82,682.88,735.01,372.52,481.29,430.8,455.56,756.47,683.1,734.83,665.33,915.01,878.74,882.93,867.42,828.39,818.92,671.57,634.98,769.44,727.72,807.26,785.46,586.6,578.39,876.17,958.06,865.71,756.1,787.11,798.5,837.21,839.2,1083.2,1003.3,1007.5,935.11,868.81,932.67,930.76,923.92,894.3,880.52,950.9,960.2,762.5,803,1018.0,998.31,1011.6,998.06,846.3,765.19,836.17,782.93,914.68,873.03,960.19,962.25,960.74,960.12,891.33,929.33,806.59,830.89,862.75,861.99,921.89,921.87,497.83,517.55,432.2,497.56,457.03,494.15,337.74,388.6,647.07,630.0,796.0,768.6,912.78,751.17
805.98,741.92,807.17,779.11,798.67,732.32,873.47,748.42,818.47,638.5,798.82,617.26,848.59,788.57,826.62,818.56,448.92,495.36,793.02,796.91,595.26,610.3,517.68,570.58,413.94,409.81,593.08,510.06,538.24,534.5,532.05,407.49,913.45,871.84,889.57,884.97,771.32,734.15,825.23,806.36,548.43,568.79,438.4,619.83,780.39,790.11,751.96,760.56,784.66,745.66,728.08,772.03,749.31,768.84,730.89,734.14,647.6,650.85,784.1,753.58,774.93,743.66,803.69,777.54,795.38,767.76,765.01,768.92,757.96,745.88,741.04,715.41,941.39,920.89,786.26,822.56,600.38,636.9,871.23,850.65,811.7,769.93,614.41,618.43,683.23,736.37,366.29,480.84,428.05,451.56,755.55,683.88,733.64,666.29,901.26,871.77,881.18,866.1,826.91,818.51,671.65,636.44,768.45,730.23,808.34,787.4,585.7,574.52,878.63,948.8,858.78,749.41,783.73,797.37,833.76,830.16,1071.5,997.36,978.44,916.57,876.14,942.03,926.37,919.98,887.83,876.83,947.37,956.37,769.5,826,1004.9,990.13,1003.7,992.28,841.63,773.35,829.89,786.07,908.62,873.39,940.63,950.15,945.86,955.91,877.63,914.52,816.51,840.33,869.83,867.5,925.71,924.68,492.8,507.66,462.6,520.22,475.53,506.67,348.45,402.78,641.04,636.57,791.0,762.6,898.17,751.5
804.86,742.13,806.93,778.47,799.04,732.5,867.97,747.34,815.27,635.87,792.39,612.6,848.01,785.01,825.66,815.9,443.81,494.38,790.7,795.05,598.24,610.25,515.15,572.59,416.7,413.82,594.53,513.75,539.66,533.87,528.73,410.86,911.51,868.19,889.01,883.97,766.79,732.96,827.78,806.99,551.11,569.56,444.83,615.67,778.65,789.66,751.04,760.64,783.08,744.13,728.02,771.33,748.42,771.53,730.0,737.54,649.35,653.6,781.84,752.25,770.38,739.0,801.4,774.45,795.11,766.35,763.05,767.25,754.4,742.55,739.18,714.0,942.77,924.22,785.12,821.54,599.56,636.02,868.13,853.97,813.27,769.23,615.84,618.15,682.26,736.57,374.49,484.03,431.73,457.09,755.22,679.13,736.53,665.84,907.65,881.54,881.36,868.72,828.91,818.54,674.07,634.8,772.16,731.69,810.86,790.03,580.05,582.57,881.62,948.93,861.23,754.96,789.91,803.16,831.76,832.54,1068.4,995.4,985.72,925.21,872.25,941.29,926.1,920.59,888.72,876.11,944.18,953.24,766.5,812,1003.7,989.35,1002.3,992.06,841.72,765.13,826.56,775.21,906.94,863.48,944.58,950.86,948.26,954.97,886.74,917.81,809.38,832.53,865.23,865.26,925.76,925.16,485.24,503.3,454.5,519.33,467.84,502.91,339.94,402.0,660.6,638.48,805.6,776.0,905.83,756.83
801.48,742.14,801.61,774.99,793.57,728.96,865.65,742.8,810.68,631.56,793.65,611.32,846.23,786.44,823.46,815.47,439.88,488.47,784.49,788.53,598.83,609.84,513.77,566.35,407.68,404.89,595.52,505.0,533.87,540.42,534.37,405.66,909.41,867.27,886.51,880.4,764.05,729.68,824.12,801.92,547.48,563.91,443.77,614.65,781.96,794.18,755.65,764.73,784.1,745.98,733.05,775.53,751.49,773.94,730.66,737.26,648.61,650.58,781.44,752.51,775.5,745.56,802.53,777.33,790.73,767.73,764.74,768.44,757.61,746.05,739.68,715.25,935.67,916.97,782.55,817.83,595.76,631.55,866.93,853.63,811.41,769.45,618.83,620.58,682.69,734.97,373.96,483.82,428.95,450.08,756.07,682.59,733.29,664.26,915.5,880.71,884.3,866.49,828.78,819.14,674.07,633.17,769.79,728.55,808.66,787.92,585.6,580.11,878.38,956.43,860.42,753.85,782.59,797.68,834.87,829.28,1062.7,988.44,980.96,917.86,873.77,935.82,925.03,917.17,887.3,873.01,939.94,946.92,766.5,818,1001.6,991.43,999.12,993.28,831.49,763.69,825.11,773.43,908.47,864.39,946.23,947.89,948.57,953.09,884.93,915.44,796.18,822.36,856.89,859.4,916.76,918.35,481.83,497.75,482.7,544.56,487.66,510.64,342.96,405.72,642.53,652.74,806.2,777.0,897.61,764.33
805.37,742.99,807.3,776.92,799.31,730.41,872.56,748.97,818.94,637.27,792.88,613.79,848.23,790.32,824.44,814.77,446.7,490.6,792.49,793.95,597.51,608.06,514.51,564.06,410.49,405.6,591.86,504.18,530.92,528.25,532.56,406.04,911.5,869.1,888.37,882.33,765.13,728.86,824.89,807.73,550.39,569.36,432.7,615.4,779.12,789.55,752.14,760.55,784.45,745.5,729.31,770.75,749.11,768.63,732.7,732.85,649.41,653.03,783.58,754.33,773.85,740.92,802.47,773.41,793.48,767.57,762.45,764.92,757.32,743.81,741.4,716.72,943.99,924.01,786.54,823.56,598.9,638.08,871.22,853.17,810.25,769.44,611.79,616.36,683.59,735.57,374.54,481.2,431.66,453.25,755.84,682.17,731.3,664.49,908.43,878.45,882.89,867.84,829.33,818.71,671.67,634.66,768.65,729.25,804.91,785.46,590.63,579.58,885.08,954.16,861.39,751.62,784.36,795.53,831.21,831.06,1083.4,1001.8,985.2,924.43,871.58,939.73,929.2,921.72,888.29,876.66,946.02,954.71,741.0,806,1005.7,990.64,1003.3,993.86,836.09,765.98,824.22,780.0,909.29,869.94,947.63,955.72,947.83,954.47,885.56,920.56,810.45,833.02,866.39,863.89,924.61,924.58,492.26,507.86,452.6,513.56,466.03,502.64,337.96,397.57,624.05,633.45,792.2,764.2,905.83,757.83
803.45,741.59,804.16,774.59,796.11,726.48,869.3,747.56,815.22,635.24,790.47,611.38,848.2,788.56,823.02,814.72,445.05,493.81,787.76,791.39,595.48,605.22,516.6,567.87,413.13,408.76,593.29,506.21,535.65,530.26,526.98,404.76,909.72,869.1,889.76,882.77,766.82,729.7,825.72,806.97,549.2,567.08,445.14,613.93,779.78,791.47,754.77,763.43,783.49,744.91,731.16,773.5,749.52,771.3,729.13,734.64,647.89,653.13,781.9,753.05,776.31,743.09,803.19,774.85,792.59,767.21,764.5,766.36,758.99,745.77,738.84,714.72,940.24,919.7,782.32,819.61,595.46,632.33,870.65,854.7,813.71,769.73,617.34,617.33,682.34,735.86,376.07,481.53,429.6,453.05,752.72,679.04,731.31,664.53,915.37,890.93,882.73,868.51,827.73,819.19,671.44,635.79,768.93,729.08,806.19,786.2,582.37,579.43,877.12,960.39,862.14,752.09,783.25,793.08,828.81,833.88,1063.1,993.56,989.04,928.07,866.99,928.79,927.69,920.71,888.77,876.59,941.14,949.59,750.0,807,1003.9,990.25,1001.0,992.64,842.3,768.73,824.06,778.43,906.09,865.21,945.89,951.96,948.66,955.09,885.26,918.48,805.67,830.86,860.54,860.77,921.49,920.71,486.67,503.95,448.1,504.89,456.66,489.09,331.98,391.47,632.88,625.19,800.2,769.4,906.17,751.5
801.7,739.97,805.0,774.72,798.09,728.07,867.14,745.08,813.54,634.82,792.36,611.98,841.24,784.44,821.43,811.75,443.57,491.43,788.82,791.06,596.78,605.67,519.02,568.44,413.51,409.61,595.98,505.9,533.42,533.16,534.84,408.43,907.74,865.39,885.93,881.09,768.16,731.32,823.13,804.04,550.14,565.64,434.26,611.33,777.6,788.77,750.96,759.53,781.89,743.68,729.71,771.18,748.07,769.68,729.18,733.02,648.31,652.98,780.52,751.13,773.99,741.42,801.01,775.0,790.88,762.78,762.11,765.71,757.49,743.6,739.18,713.72,941.88,920.54,781.67,817.92,594.49,631.86,863.77,851.25,809.28,766.99,616.12,617.88,683.29,735.53,374.41,481.91,431.43,454.52,752.06,681.75,730.62,664.57,908.32,877.56,879.83,866.64,825.08,816.88,670.92,634.16,767.71,729.08,803.73,785.09,587.26,578.41,867.25,953.28,859.94,748.49,782.74,795.3,828.45,823.15,1071.9,986.44,983.24,915.89,865.65,929.76,923.07,915.81,885.46,874.25,939.39,949.22,744.5,806,1000.8,989.04,995.14,989.53,826.81,757.54,819.0,775.64,905.79,861.45,952.03,954.22,948.17,953.06,886.37,918.52,806.65,828.58,862.16,860.0,919.76,920.27,487.46,505.51,460.3,518.67,471.72,499.61,337.47,397.78,627.63,634.19,790.2,761.4,904.89,746.83
800.15,738.88,803.65,774.07,794.38,725.62,867.17,743.91,812.36,634.34,788.95,609.98,840.0,782.63,820.88,812.4,443.79,491.26,788.85,791.21,592.99,603.47,513.19,564.57,408.77,406.55,592.78,503.4,531.69,528.58,530.31,404.39,905.93,862.27,884.49,878.87,768.81,732.31,822.91,801.84,549.23,565.11,429.14,606.75,776.31,788.13,753.02,761.42,780.39,741.7,728.68,772.6,747.19,771.09,727.45,732.61,645.44,649.35,779.58,751.1,774.21,742.87,801.06,775.44,788.66,764.08,763.86,767.5,757.09,744.55,737.88,714.55,938.14,916.65,781.29,817.26,592.82,631.79,862.97,845.26,804.38,764.92,609.17,614.57,680.6,733.93,374.22,480.85,430.14,452.09,750.9,678.31,727.23,662.57,907.18,869.54,878.74,863.45,822.65,814.4,669.77,634.16,767.51,728.35,805.57,785.82,587.86,577.86,873.12,952.32,857.3,742.95,781.33,793.07,833.47,834.03,1067.9,988.64,976.84,913.5,861.32,924.23,922.68,913.18,884.81,873.36,940.29,949.98,731.5,799,997.75,983.42,996.76,985.5,829.33,759.92,819.72,777.21,903.12,864.64,943.41,950.72,943.14,951.88,877.37,915.85,801.16,826.48,860.51,858.86,917.19,919.18,487.96,503.17,456.3,509.67,471.44,497.42,335.91,398.0,621.84,627.0,789.8,765.0,906.28,750.0
801.57,739.24,804.68,774.23,796.23,726.94,868.47,745.59,812.3,634.21,791.53,610.35,842.0,784.21,820.42,811.71,445.58,492.07,790.05,791.2,596.17,606.27,518.87,568.0,412.93,408.82,596.9,505.04,535.11,534.15,536.19,407.56,907.36,865.51,887.03,881.38,766.75,730.69,821.71,803.26,550.21,567.85,431.2,614.63,778.2,789.83,753.82,762.85,782.8,741.04,729.51,773.51,748.75,771.08,729.57,735.24,648.04,651.76,780.27,751.01,773.14,741.36,802.94,775.45,792.78,765.44,765.22,766.29,755.91,743.16,735.41,711.31,937.76,915.85,783.41,820.53,597.71,636.67,865.15,849.82,807.06,767.58,614.37,614.27,682.19,735.93,375.06,481.43,431.59,453.82,750.05,677.08,727.44,662.82,900.37,866.24,879.05,861.97,821.5,813.97,668.97,635.31,766.43,728.99,804.64,784.69,583.38,574.31,875.75,947.41,851.6,738.41,779.6,790.96,830.99,833.18,1066.6,986.24,972.6,913.5,865.74,929.86,921.27,913.66,884.23,872.79,940.69,950.9,738.5,803,993.23,980.28,994.67,985.22,831.91,763.1,822.72,776.57,905.5,861.15,936.21,943.57,942.2,948.59,875.15,912.81,806.15,830.7,862.25,860.91,922.96,923.08,489.33,504.0,457.3,512.56,462.53,496.79,332.28,396.05,625.77,633.24,804.6,770.8,896.61,753.0
