Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
688.39,640.45,736.73,704.46,761.22,653.18,741.95,599.1,790.07,560.66,811.61,511.62,696.33,617.93,685.56,671.03,293.27,288.98,743.01,740.62,481.93,431.0,174.42,114.12,114.8,117.13,345.29,330.97,478.11,447.23,659.49,289.32,701.42,635.57,666.83,657.49,590.44,542.24,556.65,551.56,454.35,467.22,491.24,491.98,547.99,649.18,688.73,705.55,550.26,523.86,736.39,722.19,662.28,652.65,508.37,515.48,494.83,476.79,685.58,655.72,776.64,630.16,735.96,695.78,680.93,675.98,746.17,692.53,712.77,675.3,681.33,670.52,698.96,590.83,384.23,377.88,285.35,280.29,652.43,607.55,666.34,617.2,587.65,467.16,608.02,611.36,463.13,428.23,403.99,407.5,518.15,522.77,608.25,595.84,597.97,566.54,591.4,582.76,606.06,598.04,561.34,598.8,559.17,585.49,572.87,592.64,551.76,522.65,606.96,641.1,652.48,638.49,684.16,667.4,587.34,601.83,573.47,570.6,674.64,580.46,538.2,522.69,547.13,532.84,561.4,533.06,550.02,529.92,512.0,460,598.31,575.02,586.95,578.78,532.21,481.44,496.11,481.29,561.32,538.48,646.83,607.2,627.03,587.06,624.93,607.74,503.06,454.69,752.23,761.79,718.14,739.93,236.54,281.2,428.6,455.44,392.84,401.09,355.0,384.57,432.4,448.03,557.6,576.8,560.22,548.83
682.72,636.53,733.88,701.54,755.79,648.04,736.3,593.97,784.15,552.94,805.16,509.45,684.82,610.27,681.12,668.36,289.11,291.15,738.55,737.6,489.43,441.01,184.21,120.36,120.28,124.35,368.32,348.68,488.96,450.91,676.08,293.28,692.86,627.92,665.73,656.22,589.49,540.53,546.43,544.51,452.06,462.92,486.28,489.88,545.75,644.85,685.26,702.6,546.86,518.01,732.01,718.53,657.93,648.34,509.17,516.65,495.25,476.38,680.23,651.87,771.41,623.25,733.74,691.56,677.5,673.23,742.5,687.88,708.6,671.81,676.69,666.75,695.49,587.29,381.11,373.14,288.5,284.4,643.75,604.74,658.57,613.0,579.36,466.97,603.44,610.28,459.37,428.52,404.64,408.33,510.35,517.78,603.79,592.08,589.51,561.27,582.26,576.16,600.53,591.21,558.86,595.96,556.16,582.98,564.82,585.28,543.13,522.33,583.63,626.69,640.71,629.75,675.93,665.87,581.83,579.94,571.32,566.8,673.56,578.89,539.77,528.31,546.55,534.92,562.36,532.68,553.1,531.53,508.0,461,600.83,581.65,586.71,579.42,521.84,482.02,485.22,478.57,560.38,537.61,644.46,598.8,626.77,587.35,626.67,606.11,508.35,473.37,750.98,758.54,710.36,727.89,247.17,291.78,428.2,453.33,393.28,402.18,350.06,374.62,437.05,451.24,547.0,545.6,561.5,532.83
683.56,637.73,731.53,700.62,757.74,649.6,734.07,597.18,784.91,555.27,805.95,508.52,687.3,612.2,680.73,668.04,290.85,285.84,736.88,737.65,481.24,432.98,172.27,116.38,114.94,119.67,352.67,335.93,475.8,443.18,661.75,297.87,694.98,628.37,666.44,655.45,589.12,539.45,552.7,546.02,451.32,464.23,485.71,487.14,543.85,643.17,684.08,700.75,545.25,519.73,732.36,717.76,658.31,649.41,508.17,516.56,493.2,475.95,681.5,653.23,770.7,626.26,732.53,693.44,675.24,673.56,742.75,689.4,708.48,672.3,678.8,668.37,689.36,585.93,383.1,376.04,287.89,281.63,639.5,604.44,659.33,613.75,578.65,465.29,604.23,608.89,460.24,426.24,402.83,406.56,510.73,517.54,602.26,590.12,588.65,561.0,584.3,577.62,601.07,593.31,558.02,595.8,556.48,583.33,569.23,589.72,542.38,522.24,588.6,628.24,642.9,630.82,676.61,666.16,583.65,592.57,572.89,574.76,666.84,578.43,538.29,524.53,548.4,532.53,560.99,532.54,549.1,530.02,511.0,456,593.74,569.2,587.57,579.19,529.28,485.96,490.33,487.07,560.44,541.27,642.05,596.5,624.17,584.97,625.78,602.04,506.02,460.21,753.06,759.92,708.68,728.26,239.29,288.68,433.1,457.44,394.97,402.88,351.55,380.3,430.84,446.57,550.4,560.6,561.78,542.17
683.48,637.33,735.79,703.44,758.33,651.16,738.02,594.55,786.23,553.75,807.0,512.61,686.68,610.87,682.25,668.15,289.25,291.84,740.13,740.27,489.73,442.42,183.9,121.12,119.06,124.25,363.53,345.58,489.27,454.62,674.11,296.36,693.89,629.78,666.25,656.99,591.26,542.16,549.37,547.36,456.02,467.27,486.07,491.66,547.44,646.83,686.35,703.01,548.48,520.75,733.1,719.19,659.04,649.2,511.18,519.94,495.06,478.03,681.58,652.92,771.88,627.69,734.46,695.34,679.0,674.39,744.9,693.44,710.89,675.15,677.59,667.36,693.91,587.85,382.68,375.4,288.89,285.71,645.88,607.18,659.85,613.92,583.35,467.79,605.07,612.66,464.72,429.92,404.76,409.56,508.22,518.12,601.88,591.3,588.25,562.54,583.06,577.61,599.82,592.24,559.04,595.98,556.11,583.41,565.78,586.98,541.65,521.44,587.17,628.71,641.4,627.61,673.19,667.05,583.22,580.72,572.0,569.8,671.52,581.82,541.39,530.03,548.15,536.17,564.41,532.48,552.45,530.39,508.0,459,601.9,586.71,587.98,584.81,527.47,489.71,491.0,486.29,563.65,539.52,641.51,596.74,625.46,586.62,627.44,607.26,512.92,475.2,751.77,761.31,711.29,726.88,245.11,292.43,433.8,458.11,394.66,403.36,349.34,375.15,436.39,451.02,548.2,546.4,562.39,533.5
686.83,640.9,737.28,704.97,763.36,654.85,740.36,600.33,789.45,559.88,810.23,514.84,690.46,615.3,685.91,672.13,292.49,286.58,742.62,742.87,485.33,437.38,175.51,116.82,116.52,121.11,356.17,340.67,481.03,449.7,665.98,299.12,697.19,631.82,670.5,660.03,594.5,548.45,548.42,547.15,453.27,466.55,488.27,491.82,550.4,649.2,690.52,706.76,551.9,525.33,737.32,723.07,662.74,653.1,515.68,523.26,497.54,480.32,684.75,655.77,775.25,632.99,737.2,698.85,680.06,678.32,748.49,698.11,716.54,680.94,681.23,672.67,690.66,588.07,385.43,378.29,289.3,284.28,640.63,607.61,660.62,617.14,579.59,468.45,607.73,615.41,458.42,430.38,405.27,411.47,513.63,523.75,606.49,595.78,589.84,565.24,587.0,582.07,604.91,598.33,559.83,598.11,558.35,585.12,571.44,590.79,545.81,524.58,593.17,631.71,646.63,632.93,684.12,670.17,586.76,588.18,576.16,576.88,672.64,584.61,540.44,529.05,552.91,539.02,566.16,535.92,552.63,532.82,511.0,459,600.72,577.64,595.14,588.03,525.21,494.56,492.78,494.79,566.26,545.79,644.1,598.03,628.43,587.94,628.7,607.07,508.27,467.5,753.78,764.01,713.5,728.58,243.63,292.13,430.3,458.33,395.69,404.97,351.94,381.57,432.75,450.78,551.6,555.8,564.67,546.33
688.15,639.56,740.58,708.68,763.84,655.76,742.88,597.23,789.09,556.04,814.6,516.94,691.28,615.01,689.64,674.16,292.02,293.61,747.03,744.88,488.75,440.22,185.15,122.6,119.07,126.17,362.37,347.03,493.37,461.21,678.71,300.02,699.08,633.79,668.52,658.71,595.66,547.36,549.89,549.22,458.74,467.84,491.54,493.12,555.43,653.02,693.57,710.05,556.94,529.48,740.37,725.2,665.58,654.59,520.58,529.09,501.66,483.99,687.52,656.07,781.14,640.31,740.29,699.23,685.43,679.38,751.26,699.71,719.55,682.27,681.29,670.75,698.74,592.67,386.36,377.0,291.23,288.77,651.28,612.7,664.91,616.67,588.26,471.18,610.15,617.9,464.88,428.91,409.1,417.3,512.12,525.84,605.94,594.3,595.1,565.48,589.06,581.08,605.04,599.67,561.13,598.94,558.84,585.88,569.39,589.42,547.85,527.59,591.38,633.64,645.53,632.9,682.46,672.33,585.77,587.22,581.53,578.08,679.32,588.11,544.82,536.83,554.54,541.83,567.53,537.88,556.31,535.39,513.5,466,608.0,589.43,596.81,589.94,525.65,499.88,492.67,499.93,569.09,550.39,646.78,603.79,630.91,592.71,630.44,610.93,516.49,478.48,754.84,767.3,718.88,734.17,249.4,296.61,436.5,458.56,398.53,405.61,350.57,377.83,439.79,455.31,552.8,550.6,566.72,537.83
687.18,641.56,739.9,707.59,766.07,657.02,741.56,600.68,790.27,560.47,817.02,522.73,691.94,619.37,687.8,673.65,294.82,296.72,745.72,745.5,492.88,444.97,182.54,122.68,121.94,126.28,372.7,353.29,492.7,461.39,682.9,308.6,698.05,634.65,672.42,661.64,599.39,554.28,552.5,551.25,456.47,470.0,490.35,493.35,556.81,652.51,694.7,711.45,557.14,531.2,741.01,727.04,666.6,655.43,520.51,529.27,500.17,484.66,687.43,657.2,780.83,639.18,739.9,699.53,683.27,681.35,750.57,700.71,722.33,685.3,682.15,673.98,697.57,591.95,384.71,378.71,292.46,290.91,642.3,612.28,663.23,618.43,586.3,472.3,610.61,617.83,464.09,433.46,407.5,416.43,516.63,533.02,607.86,597.26,589.65,563.98,588.06,581.02,606.51,602.9,562.65,601.26,561.06,588.67,572.29,591.67,547.83,530.09,595.38,631.1,645.65,636.32,690.44,672.28,587.64,582.89,577.84,580.96,681.28,593.07,543.94,532.97,555.51,541.8,571.16,540.67,556.53,538.02,510.0,469,604.31,579.49,597.64,588.89,532.35,509.08,501.5,508.57,575.32,556.82,652.46,605.55,633.06,594.91,637.74,612.04,516.94,482.96,755.35,765.14,712.94,729.05,252.42,305.08,435.8,459.67,401.38,409.97,354.87,381.07,437.46,454.91,552.6,558.0,569.72,546.83
689.06,642.14,738.71,706.21,764.06,655.96,742.73,599.68,790.0,559.04,812.57,514.61,692.33,614.48,687.63,673.34,294.41,286.82,744.59,743.01,483.46,435.42,176.15,118.76,115.03,122.65,350.6,339.23,486.71,452.86,667.78,295.73,697.71,632.39,671.19,659.46,595.89,551.16,550.74,549.06,457.07,467.33,494.25,491.46,557.13,652.75,694.12,710.35,557.22,532.32,741.06,726.44,665.87,654.29,519.71,528.2,499.99,484.47,688.84,657.42,783.46,643.64,739.62,698.8,683.86,678.03,751.37,699.77,721.62,684.0,683.07,673.14,692.62,589.85,386.18,377.59,289.42,286.89,646.4,610.41,666.13,616.99,584.52,469.67,610.98,616.81,461.7,428.66,406.83,417.07,514.16,533.77,607.84,595.8,595.54,567.73,589.88,582.96,606.48,604.56,562.82,601.31,560.36,588.62,574.1,593.98,552.97,528.26,599.0,635.31,647.9,637.67,691.16,673.47,588.79,591.3,581.74,581.56,677.12,589.86,542.85,531.68,553.82,541.41,567.9,538.23,555.86,535.76,511.0,460,606.42,583.13,597.29,590.64,528.81,498.33,500.61,497.86,572.47,546.39,647.59,601.06,631.94,591.35,631.33,608.81,508.33,470.73,753.24,765.51,715.12,732.16,245.34,291.17,436.9,461.0,398.56,406.42,352.77,379.23,437.93,455.24,558.6,563.8,571.17,544.5
688.47,642.12,741.07,707.34,766.2,655.98,740.75,599.16,791.51,558.72,813.61,516.91,686.67,615.42,686.19,672.01,291.42,288.89,747.74,744.76,492.96,444.18,183.96,120.67,120.8,126.25,367.55,350.46,486.9,457.46,683.8,302.97,693.12,629.39,672.66,661.0,599.23,550.77,551.32,550.07,457.11,471.79,481.69,491.02,557.39,651.2,692.82,709.96,555.88,532.27,740.27,726.18,664.14,653.99,520.4,530.32,501.03,484.68,688.41,656.93,781.37,640.14,739.26,697.1,679.75,676.75,747.41,696.8,720.8,684.13,682.42,673.36,698.81,592.53,383.29,375.86,291.85,290.39,644.8,610.46,663.69,615.64,583.99,470.19,609.58,615.77,461.69,429.26,409.29,416.46,516.93,534.73,609.88,599.11,592.55,565.16,587.5,581.43,604.14,602.85,561.46,600.84,559.85,586.3,570.23,591.58,535.93,530.65,595.98,629.28,643.77,633.98,690.24,670.42,584.13,585.23,578.74,579.08,681.88,594.86,542.02,531.71,554.63,540.83,567.99,538.16,555.31,533.57,507.0,464,607.65,585.15,597.24,587.86,526.21,506.38,497.0,511.36,574.32,557.42,648.56,601.81,631.43,590.91,633.22,611.93,517.64,483.92,757.94,766.37,714.49,729.52,251.81,301.61,436.4,458.22,400.63,406.94,350.75,374.97,438.28,454.97,555.0,556.6,570.17,546.67
686.84,642.06,735.12,702.54,761.79,651.97,738.89,598.74,788.53,559.13,811.21,516.86,690.18,615.9,683.39,670.65,288.2,284.16,740.2,739.91,486.11,439.13,177.47,118.87,118.73,122.45,358.65,341.28,477.08,453.51,671.12,303.78,692.74,628.68,670.37,659.0,596.13,549.44,551.94,550.64,454.63,469.09,477.67,493.28,555.11,651.11,691.62,708.04,555.63,532.03,738.37,724.42,662.83,652.85,520.98,529.47,498.85,483.43,686.28,655.56,777.95,636.98,737.07,695.27,678.98,674.65,747.35,694.8,718.23,681.15,681.63,673.25,691.14,589.91,384.06,375.62,289.03,286.79,641.72,607.6,661.13,614.65,576.25,467.17,608.31,613.62,464.08,429.38,405.89,415.69,515.24,532.94,608.45,595.49,590.88,563.49,587.14,580.51,606.6,604.89,562.74,601.16,560.04,587.48,571.69,593.22,545.78,528.61,591.69,631.38,647.14,639.08,690.36,671.5,588.1,586.89,576.26,577.0,672.68,584.29,538.94,528.73,550.65,536.39,564.71,535.38,551.41,531.57,505.0,464,600.24,574.18,593.5,584.39,529.74,502.29,499.5,505.86,572.09,548.09,645.81,598.68,627.74,587.29,629.44,603.96,515.04,478.1,757.03,764.56,714.65,728.77,243.23,288.85,431.9,457.56,396.84,404.67,351.89,379.32,433.35,450.28,550.0,550.2,568.28,539.33
