Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
660.81,638.69,609.12,627.18,592.56,584.92,666.24,613.69,631.43,501.49,606.7,448.84,691.27,658.45,672.61,684.78,350.91,434.74,687.69,670.05,503.41,517.79,397.55,331.38,239.28,216.02,349.11,294.86,300.51,391.76,307.72,324.06,750.65,733.25,745.23,730.46,650.99,609.47,611.98,616.52,399.9,445.27,478.65,593.81,644.56,672.34,672.38,684.79,666.16,656.85,666.26,691.44,650.84,698.28,575.01,647.46,545.0,537.04,682.54,682.16,657.22,660.31,743.76,795.42,704.56,697.77,721.01,744.59,697.55,702.86,649.31,676.99,829.45,823.56,645.51,663.2,515.94,514.26,706.48,717.0,668.67,632.93,433.66,496.04,622.78,607.98,324.62,459.55,410.93,410.64,596.75,639.51,615.18,579.19,747.18,729.53,733.45,728.68,706.44,692.7,515.98,550.65,586.5,645.86,688.59,677.36,523.83,535.1,744.87,817.78,807.95,783.41,721.29,673.8,708.07,740.76,795.42,753.52,820.84,747.75,749.25,756.58,717.63,706.1,698.49,672.83,737.49,716.63,799.0,759,802.04,782.61,774.19,761.53,643.42,618.54,670.61,627.5,726.97,699.76,798.56,770.0,779.2,751.68,768.3,729.04,679.4,710.42,813.79,793.77,777.05,756.65,470.98,585.55,623.4,618.89,569.44,572.03,445.42,527.82,612.53,600.93,702.6,694.2,729.33,672.0
658.16,636.0,607.01,622.84,591.06,582.97,662.95,611.04,628.56,499.34,604.26,446.24,688.06,656.56,668.07,680.95,349.9,435.87,680.31,664.15,501.99,518.09,393.08,328.68,235.71,214.62,346.85,292.77,299.9,394.01,304.06,321.02,748.94,730.46,744.2,729.68,649.38,608.81,608.73,613.8,397.67,443.51,479.79,591.29,642.52,670.81,669.11,682.21,665.12,654.77,662.78,688.14,649.53,695.93,574.23,644.66,545.96,537.04,679.87,679.52,654.45,656.02,740.87,791.64,702.08,695.53,718.62,739.58,695.7,700.43,647.63,674.97,820.75,814.09,645.2,662.42,515.41,512.39,702.03,711.31,665.73,631.68,432.56,496.07,621.6,606.08,323.23,459.63,409.68,408.29,596.4,637.86,613.03,576.85,736.21,723.41,730.26,727.4,706.19,692.0,515.06,549.38,587.07,645.56,685.72,675.68,523.66,534.25,719.81,799.0,798.33,776.23,719.94,669.42,705.26,740.25,787.26,748.48,807.56,733.32,746.98,753.51,715.57,704.45,696.47,669.54,734.37,716.06,791.5,756,791.97,772.03,771.69,762.28,641.53,620.02,670.78,630.86,724.59,696.91,792.25,760.36,774.6,742.65,761.81,716.78,675.39,708.48,810.4,791.93,773.29,754.6,470.34,581.66,620.0,616.44,572.44,574.76,450.42,530.27,613.02,603.33,688.8,682.0,730.28,663.67
657.04,635.31,606.36,623.16,590.89,582.41,661.8,610.46,628.2,499.4,604.87,446.52,688.02,655.21,667.53,679.21,349.81,435.0,680.64,663.9,501.52,517.67,393.47,328.08,234.81,212.82,346.22,294.39,299.17,390.28,301.81,322.81,749.77,730.6,743.61,728.7,648.03,607.53,610.86,616.16,398.62,445.16,479.64,595.04,642.56,670.5,670.27,682.14,664.68,654.71,663.59,689.11,649.4,696.36,574.5,646.25,545.69,537.18,679.22,678.35,654.17,654.71,741.66,790.77,702.43,695.59,718.62,740.46,694.4,699.23,646.17,671.81,818.6,815.02,646.47,663.85,515.92,513.64,703.57,710.61,665.19,630.64,432.69,494.78,620.42,606.33,323.06,458.77,409.51,410.97,595.77,638.59,612.81,577.15,746.52,728.41,732.16,728.52,705.28,691.74,515.03,549.06,586.99,645.43,687.2,675.22,525.25,532.45,749.94,815.18,799.67,776.57,720.13,672.63,707.61,743.11,788.95,745.8,802.92,731.32,748.88,754.64,715.82,704.59,696.64,672.08,734.69,717.82,792.5,760,799.16,782.22,771.1,762.97,642.0,618.04,669.56,624.71,724.74,698.85,792.52,763.81,774.69,748.71,763.22,719.56,676.66,708.83,811.07,793.04,774.72,754.56,468.26,582.83,621.9,619.22,573.0,574.7,449.23,529.63,611.75,601.43,716.6,704.8,728.11,678.33
657.65,635.32,606.03,621.59,589.9,582.21,661.58,609.78,626.89,498.7,605.21,445.81,689.19,657.03,666.9,679.87,350.54,438.39,678.09,661.83,502.59,518.92,392.41,328.27,234.08,213.55,347.23,293.82,300.5,391.43,303.33,321.1,749.65,730.91,743.84,728.79,649.79,609.58,607.94,613.3,397.18,443.83,479.27,589.92,643.61,670.98,670.33,682.05,666.3,655.7,663.12,688.33,649.26,695.96,572.64,646.97,546.97,537.92,679.76,679.33,654.8,655.3,740.45,789.73,700.81,695.5,717.23,737.69,695.17,699.38,648.34,675.59,818.49,814.68,647.69,663.65,515.93,513.13,700.56,709.2,665.51,630.73,432.86,494.17,620.19,605.48,322.59,458.46,408.77,409.06,597.26,637.64,612.65,576.03,736.1,724.67,730.97,727.33,706.75,692.75,515.79,548.32,589.05,646.41,686.03,675.39,521.97,536.3,723.17,801.3,799.61,776.53,720.42,670.73,707.28,733.34,791.47,749.68,806.76,729.07,745.12,755.31,714.5,704.06,696.34,669.47,733.33,711.2,788.5,753,787.53,761.14,771.38,758.44,640.77,620.4,669.28,629.07,722.5,696.39,787.81,757.37,773.03,743.15,761.19,717.59,678.09,710.69,810.63,792.43,772.03,754.52,472.71,584.56,616.6,612.44,571.13,572.85,452.77,529.02,610.74,602.72,692.0,688.0,727.61,665.33
657.07,635.43,605.26,621.39,588.68,580.89,662.4,610.63,626.39,498.76,604.91,444.24,690.14,658.49,666.38,679.37,348.75,439.09,678.41,662.19,500.82,517.74,393.23,328.42,234.76,213.91,346.26,293.85,301.88,393.42,300.39,321.63,750.71,732.98,742.46,727.66,645.77,606.22,609.7,615.48,399.47,447.72,479.31,596.4,641.85,669.86,670.17,681.97,664.29,654.27,663.86,688.19,649.52,696.03,574.11,645.51,546.35,537.04,679.37,678.65,653.12,653.34,740.0,788.73,701.7,696.37,716.22,738.35,693.21,698.25,646.95,672.7,819.26,815.41,647.28,665.03,517.51,514.81,705.83,713.22,665.52,630.29,433.36,493.98,619.61,605.75,323.36,457.4,408.37,410.3,594.73,636.59,610.41,576.33,744.69,726.49,732.96,728.77,705.62,691.87,513.59,548.27,587.11,644.77,684.69,673.44,527.81,530.92,746.1,808.95,799.08,777.25,722.38,671.35,704.33,752.89,784.11,743.64,795.36,727.61,745.52,756.72,714.13,704.81,695.28,671.29,733.53,716.08,788.5,765,797.38,782.24,769.88,762.64,640.81,616.27,668.33,624.79,720.79,696.52,789.22,762.47,770.86,744.41,758.59,718.56,678.74,710.12,810.79,792.13,775.49,754.3,469.85,584.72,626.3,620.56,577.47,573.79,452.28,528.02,609.28,597.91,724.4,711.6,712.28,674.5
654.73,633.22,602.63,619.33,585.82,578.35,658.46,607.51,624.01,496.42,600.85,443.16,685.64,654.49,663.37,677.12,350.31,438.17,674.22,659.46,496.54,515.48,389.97,325.38,231.52,211.03,344.03,291.96,299.81,392.15,297.72,319.08,745.49,729.01,739.67,725.13,644.67,603.72,605.93,612.96,395.36,444.27,477.12,590.56,637.55,666.97,666.5,678.18,661.58,652.59,660.4,684.97,646.51,693.06,566.76,641.78,543.67,534.96,676.42,677.04,649.82,651.2,736.89,785.78,698.24,694.29,712.2,734.67,690.78,696.79,643.75,670.77,816.34,810.99,642.5,660.17,512.29,509.16,699.8,706.74,663.95,627.43,431.24,492.53,616.9,602.42,321.54,456.2,406.14,406.69,592.53,633.47,608.8,571.97,734.57,725.6,727.69,726.12,702.42,687.81,511.91,545.51,585.44,642.75,682.92,672.04,523.83,534.13,707.1,800.0,797.56,772.53,716.51,666.93,703.4,738.86,780.84,741.56,801.36,722.57,737.77,746.29,709.78,697.49,691.39,665.44,728.67,707.57,784.0,747,791.69,768.93,764.74,751.86,636.98,616.04,673.06,629.93,722.38,694.91,788.08,761.24,768.57,741.94,757.74,715.04,675.31,708.84,805.52,789.49,768.9,751.68,470.91,582.81,618.9,616.67,573.5,575.27,454.81,530.57,609.25,600.52,684.2,692.2,726.72,656.0
655.67,634.42,604.13,620.53,586.94,580.06,658.62,607.83,623.71,497.28,602.76,444.88,687.69,655.95,664.23,677.75,349.77,436.34,674.94,661.57,497.42,516.36,391.88,327.98,232.17,212.39,345.26,294.58,300.76,392.76,298.84,320.49,748.07,731.12,740.62,726.45,647.48,606.49,607.29,614.57,397.14,445.27,476.96,591.21,637.72,668.08,667.92,680.27,661.96,654.34,661.36,686.82,647.84,695.32,568.49,644.4,543.18,536.7,678.04,677.95,650.58,652.29,737.79,786.63,700.45,694.43,714.93,736.32,692.71,698.47,645.82,672.08,819.43,814.03,644.91,662.26,515.3,511.77,703.77,711.1,665.96,629.75,431.29,494.1,619.02,605.06,323.53,458.35,406.91,407.13,593.16,634.58,609.72,575.5,737.79,726.22,730.31,727.66,703.77,689.56,510.18,546.05,584.42,643.6,684.94,674.45,517.79,532.18,741.75,806.04,797.99,775.75,719.46,669.6,706.79,724.75,787.74,742.44,798.64,721.68,746.87,753.35,712.4,700.59,693.83,668.55,732.69,713.8,793.0,760,788.35,768.8,765.24,752.69,639.09,619.19,667.22,628.93,722.38,697.94,787.32,759.38,771.23,741.91,757.33,713.0,677.19,711.3,808.45,791.65,768.44,753.6,469.07,584.79,623.2,618.44,573.94,574.06,450.11,528.82,613.6,604.1,707.8,698.8,734.28,675.67
657.12,636.91,605.48,621.89,588.41,581.56,660.94,610.64,626.31,499.03,603.4,443.61,689.02,657.95,665.99,679.29,348.46,436.32,676.8,662.28,499.89,517.19,392.47,328.47,231.88,213.08,347.07,294.03,301.21,391.83,300.67,319.66,749.21,730.59,742.97,728.4,648.99,607.4,607.88,612.84,397.38,443.68,477.81,588.04,640.86,669.45,670.44,682.4,664.49,654.36,662.84,688.38,649.26,696.18,573.63,646.22,545.04,537.41,679.83,680.12,652.85,653.99,739.87,790.05,701.38,697.84,717.27,739.12,694.46,698.94,647.91,673.96,820.64,816.27,645.38,663.12,517.56,512.84,702.72,709.49,664.26,630.45,430.06,493.65,620.46,605.83,323.3,458.12,407.28,408.5,595.42,635.62,611.65,575.27,740.93,721.98,731.85,728.58,705.96,692.03,514.61,547.2,588.18,645.17,686.81,676.32,527.06,534.6,733.21,804.43,798.97,775.88,719.76,671.46,707.65,740.25,783.32,739.32,799.24,726.32,748.17,753.95,715.83,703.45,696.85,670.8,736.63,716.49,800.0,767,795.39,776.55,769.55,757.92,640.93,618.1,670.72,627.36,722.88,700.15,792.68,761.52,774.34,743.09,761.7,715.41,672.82,707.75,808.75,792.73,772.77,755.26,469.74,583.64,621.7,615.78,575.25,571.33,453.49,527.5,610.16,599.28,702.6,698.2,719.78,670.33
658.27,637.0,606.02,622.65,588.92,581.98,661.3,611.14,626.27,499.1,604.43,444.59,690.0,660.14,667.01,679.49,350.56,438.25,677.52,663.23,499.84,518.76,392.0,327.94,231.34,213.19,348.72,295.87,301.8,392.88,299.24,320.29,749.94,732.33,743.46,729.15,650.35,609.89,609.75,614.45,399.47,446.48,480.45,593.11,644.28,671.14,672.06,683.58,666.33,656.48,664.02,689.56,650.48,697.0,575.1,647.9,547.38,539.26,680.72,681.36,654.59,655.77,740.78,790.16,702.3,697.84,717.56,739.67,696.56,701.19,648.43,675.22,820.38,816.19,644.97,662.41,515.49,513.94,706.43,716.8,668.8,632.39,434.6,496.57,621.74,607.22,324.21,460.01,408.49,410.4,596.22,637.73,613.42,577.66,740.62,729.65,732.24,729.42,706.8,691.96,515.01,548.97,589.34,645.63,687.65,677.25,524.53,534.32,713.17,806.25,800.46,775.57,721.73,673.94,707.8,737.06,784.21,741.48,801.2,730.0,746.29,754.72,713.93,704.22,696.41,672.46,734.92,715.94,784.5,750,794.27,773.9,769.02,758.94,640.49,619.83,668.94,626.36,725.0,701.03,790.59,761.63,773.83,745.76,762.11,720.48,677.61,712.14,810.19,795.22,770.94,754.33,474.29,585.1,621.3,617.78,575.94,575.09,457.09,529.68,610.26,599.1,686.6,684.6,729.06,649.83
657.58,637.0,605.03,621.43,588.15,581.67,659.55,609.85,626.02,498.34,602.79,442.16,685.99,656.52,665.48,678.69,348.75,435.16,676.82,662.63,499.6,517.24,392.11,329.15,231.29,212.73,348.77,295.23,300.19,389.81,301.69,319.96,745.48,728.01,742.24,728.32,650.91,609.99,607.83,613.08,396.74,442.0,478.78,585.69,643.29,669.88,670.25,681.84,665.99,654.92,663.02,687.9,649.46,695.51,573.49,647.15,544.73,537.76,679.94,681.0,654.35,655.36,740.27,790.32,700.6,696.52,716.34,738.68,695.71,699.88,648.12,674.28,819.93,815.54,642.46,660.45,514.63,512.61,698.59,708.88,664.67,629.12,428.31,492.01,619.26,604.63,322.63,458.58,407.54,409.57,595.61,636.46,612.27,575.07,737.5,723.75,730.42,728.19,706.13,692.4,514.71,547.77,587.84,645.53,687.07,676.83,522.55,538.31,739.42,800.86,798.68,776.99,720.92,671.13,708.09,740.46,791.11,752.4,809.04,732.82,746.06,756.1,714.08,703.76,695.3,669.08,732.61,712.06,786.0,755,788.45,768.33,768.48,758.0,638.3,618.42,668.67,631.79,720.76,696.27,791.05,761.33,771.86,743.82,761.15,720.81,675.21,708.51,808.44,792.31,770.34,753.99,473.83,586.19,617.2,613.22,572.81,574.73,453.64,532.2,612.4,603.72,706.8,695.4,734.78,683.17
