,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
Precentral_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precentral_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal_Sup_2_L,,,1.0,,0.2020318036233031,0.13087339105805354,,,,,0.09259345457124131,0.1597141258658717,,-0.18746374256124115,,,-0.05212590928122009,0.0050617485753574505,,,-0.14800205108047307,-0.031576939636515394,-0.005195190131999897,-0.31217826283386974,0.05156531546089443,-0.2999249394072657,-0.08056096454698741,0.12596463169948682,-0.01627458718596593,-0.21686857147776809,-0.050023680782376984,0.1970845176405492,0.25466216185205776,-0.014193291262216261,,,0.2535929848270798,-0.1666754922719528,0.18793940596170614,-0.1642976711838442,0.2684563725474462,-0.19916100289308217,0.010104094572573306,-0.10348643590210208,-0.2559576505611481,0.19184630040462308,,0.08850689809078588,0.21454583358510337,0.08673859331423965,0.11631360259525454,0.15873926360065246,0.16154572461011543,-0.0816900624974053,0.22490308131440892,-0.25521661540286017,0.10190638517508106,-0.3296990524614473,,,,,,,,,,,-0.060521413859092585,-0.1704601424458126,,,-0.18021655985542098,-0.0005899446023192455,0.12569648885916823,-0.2588779891479831,0.23003086709994253,-0.15918947133149905,-0.2879095107600342,-0.2901389610954004,0.1753124763160684,-0.023645700201669527,0.037550691513606065,-0.21992965974037454,0.01277027068169485,-0.35014771919448306,0.04163197000878561,-0.30148994110985805,0.16263508719136377,-0.3213809761370961,0.22085829582298452,-0.28606081884796103,0.1684211906400929,-0.10563204138996482,-0.1597114254830332,-0.014435641009802285,-0.05754611599327417,-0.11451799497520217,0.10873416269371,-0.22084686220611538,0.3131008313665102,0.104540451343116,0.282390319810161,0.1913538660490996,0.23527262726928394,0.22898696949040775,0.25425478065215196,0.0030323685763243976,0.08747924580887242,-0.16170006176317736,-0.011070361812354554,0.24669404381890928,-0.20142426386316947,0.07436863317501191,0.22027649451593875,0.033272437442552455,0.13340052646498904,-0.00913421613626766,,,-0.10268266452624854,-0.06118941752223484,-0.0030263795522826637,0.19579921826850324,0.05751589530338645,-0.13773024421003852,-0.14276974724948002,0.08837930188871351,0.056485128526703066,-0.07846021006642276,0.08801472550818204,-0.12081750310532625,0.19977501631276554,-0.1275473160544939,0.15914623924895446,-0.08892156914947072,-0.1297160296066723,0.15280499194643904,-0.24451891498050352,-0.19915029447267438,-0.18406863907705212,-0.2776832296806686,-0.3287943330232676,-0.36752744159013384,0.21078793079498265,-0.14038730522777582,-0.21771745402365852,-0.0997104925516222,0.14111818790217387,,,,-0.1517541473248763,0.07000985695312491,-0.29899374613308843,0.09145750477003885,-0.2410791827903803,0.13969312283812663,-0.2538846651288093,0.1922857791927018,-0.2913347652334709,0.04473010019982734,0.3223212507299024,0.03984224969863855,-0.11126965324657076,0.29713056521731507
Frontal_Sup_2_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal_Mid_2_L,,,0.2020318036233031,,1.0,-0.0308428231317167,,,,,0.21929528252993896,0.21667627680418067,,0.14049760594199592,,,-0.09860971363322552,-0.047133385024649366,,,-0.23081291692734363,-0.3634834122904252,-0.3553571107517197,0.15838534278000477,-0.2143622948420208,-0.12278180224526801,0.06948087833203061,0.2249773295613783,-0.19274009618916715,0.06550894522072355,-0.46990076755381505,-0.24431003334695509,0.06325440622635337,0.33767244065835944,,,-0.21851169112207125,0.37339713593582213,-0.13214497885036897,0.11217672083166308,-0.2647008549834131,0.09235116376866778,-0.024576492451494823,0.1012735384763703,0.4600053884653958,-0.291124457793151,,0.12769801859866994,0.33662213620104176,0.3070506593247232,0.27131996540354014,-0.1717915548193432,0.22921782679034367,0.19412339081480642,0.22153178408530955,0.3075937562278284,-0.14470800067921158,0.1519593756703006,,,,,,,,,,,0.48525649725658443,0.4054973843614611,,,-0.5050467831899366,-0.4236345437903065,-0.334583660349834,0.4939764869650965,-0.09199398381397997,0.33911044770740617,0.02715464250294278,-0.1055781944568431,-0.4160314085456569,0.03808684592659517,-0.214850608877181,0.21755015812965658,-0.003968385045366693,0.2435431553765719,0.016181758653418962,0.1452419225717147,0.007456022044350776,0.040296636910599516,-0.17809468617824845,0.09203965958446263,-0.2559050998309546,-0.2294888893439387,-0.006765789412123768,-0.05511218014798589,0.04930932154554581,-0.08648732430443802,-0.06797175325351197,-0.012247270318470376,-0.2221022302491879,-0.25057346472287245,-0.3076991442812992,-0.3701109192016388,-0.34261477225474146,-0.40444523937492705,-0.32712910197996936,-0.3820135391169214,0.06282538193692726,-0.029403992880558213,0.30826411161979156,0.005537583227477691,-0.08507912429530404,-0.03687619086757384,-0.14919214286514024,-0.02011618287772289,0.35446009667984024,0.4764431285062942,,,-0.35160028026924317,-0.41921082600205606,-0.21686176059695852,-0.3146197806287231,0.07508023226414069,0.1263418249584114,-0.052172568756463616,-0.30018856291101037,-0.15424894259598673,-0.4524243853873988,0.018771052009567284,-0.2391933475087659,0.056945914501114595,0.04704498751607663,0.17135718752024762,0.17616918618174846,0.12693658516431353,0.06634089404233735,0.048177051825329525,0.48381971426744175,-0.03068812961520095,0.3357645831358335,-0.04802708923105329,0.12548012401335737,0.002331364790097782,0.3200018165055567,-0.5056189596971984,-0.046561417698611544,-0.03745985192419384,,,,0.3056329733403496,0.3793448480091254,-0.03218539124569755,-0.3830237175206844,0.07809815678086506,-0.3575620181245236,0.07777872121477447,-0.3270896204082905,0.17448625587624228,-0.12299298509962532,-0.11408406211382893,-0.2510117866876442,0.06282714684214633,-0.177366010150268
Frontal_Mid_2_R,,,0.13087339105805354,,-0.0308428231317167,1.0,,,,,0.18584203376259903,0.4962955445754906,,0.06168144197367026,,,-0.07830833547070015,-0.03851742622540594,,,0.01564701276322327,0.2163803111752264,0.28285083520040455,-0.28765488301807446,0.2681106047563751,-0.1324951630828451,0.10913634675953988,0.6260378786912162,0.14419257062182173,-0.07127082304878074,-0.0704135878386327,0.15172325105768034,0.6215721863061868,0.43814722329476724,,,0.23917374716223594,0.03385184535904474,0.1981262293837408,-0.2456795169863476,0.34387010822628056,-0.2300240826823325,-0.03256291389693928,-0.04461668753115186,-0.2323519810337004,0.44312864278951725,,0.49834591496395236,0.23425119979867173,-0.08896254078256145,0.35832052650595525,0.3558119186311637,0.5489590316110456,0.24037547144131338,0.42513100612919863,-0.27925014673266974,0.15597963657527042,-0.329600382186963,,,,,,,,,,,0.11316844727032979,-0.5322421414871435,,,0.0016171630637120073,0.31202996361929836,0.1513097321474285,-0.3389746735499852,0.04475507179422139,-0.5351073471547055,-0.30216597414145097,-0.18641365692746545,0.0656422809084645,-0.33251795745564583,0.05658853059923443,-0.15392998936709962,0.3172480211658636,-0.3608218303954328,0.14628626656646757,-0.13507798477551972,0.4135934322501281,-0.11924109177836785,0.3654347859607865,-0.18831263101378773,0.3330571332550547,0.028095898638541648,0.09284951578314178,-0.039041070860212364,-0.19222670257165486,-0.20184378475629067,0.16033001707120736,-0.1101737483582111,0.38805316955173713,0.0738975916110961,0.3806440005020476,0.21274660160275663,0.35065926694585065,0.19885968124193631,0.36754209210435146,-0.16283221815247848,0.035766599915140175,-0.046045632795297886,0.05790570924779635,0.5322103646133913,-0.2782813006122568,0.006569391532018485,0.10621741043536219,-0.12410690029030172,-0.04167311318190742,-0.3818400015428712,,,-0.1509366017836397,0.3007783772787873,-0.14471481148052814,0.24861230528218212,-0.11107654449282907,0.0015986579733103991,-0.2176276801104953,0.3531546043191003,-0.07500132926220884,0.26612828823015483,-0.1128027258563639,0.21124852746992143,-0.038295839639298564,-0.44299931442450313,0.10288777991891147,-0.2732444624936729,-0.1361791374743623,-0.30756221491769214,-0.2627841249037657,-0.35970179357852544,-0.06448064754109847,-0.16577181806111685,-0.23634855684241884,-0.17097172706480715,0.2660287995588765,-0.00926052436503908,0.1537164290314026,0.17537868846261417,0.10412665412893453,,,,0.05980105532234008,-0.3627658712550876,-0.08690557503735793,-0.06910604966108388,0.013831675094105364,0.054039008879167565,-0.12175419154764663,0.1505963446924028,-0.25441403238693217,0.024315201567775585,0.3475453393811173,-0.2190631060622852,-0.05071228226278214,0.2787066558959638
Frontal_Inf_Oper_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal_Inf_Oper_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal_Inf_Tri_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal_Inf_Tri_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
