Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Thal_AV_L,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_Re_L,Thal_Re_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,VTA_R,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,LC_L,LC_R,Raphe_D,Raphe_M
588.48,590.24,588.0,576.72,580.64,568.62,605.45,605.97,597.36,548.85,590.57,523.66,597.14,619.05,629.9,612.35,282.09,285.61,607.66,617.65,469.77,481.61,197.15,244.01,75.042,86.422,314.55,240.96,282.32,328.89,514.6,368.36,631.57,633.93,661.37,633.21,576.12,529.17,539.56,517.32,327.2,399.21,476.6,500.16,514.03,568.8,556.93,579.61,522.2,548.41,546.23,554.6,499.39,573.45,460.99,534.83,384.29,400.29,560.46,594.23,595.85,520.15,570.7,591.49,503.48,555.44,515.22,535.64,624.32,605.43,607.13,568.78,776.12,735.45,559.0,578.1,499.6,488.96,611.67,648.75,571.07,570.51,372.48,454.64,481.57,503.62,248.8,347.04,267.94,271.27,417.92,471.1,438.11,473.71,603.27,578.24,595.66,588.5,572.04,573.07,468.74,472.99,561.56,562.38,594.37,577.67,484.32,504.99,601.31,655.28,622.11,569.25,588.08,595.98,606.82,597.16,670.05,714.4,791.84,689.0,651.38,693.19,638.49,620.39,620.6,579.27,620.88,605.69,726.5,688,659.06,637.17,675.4,665.42,504.77,502.13,498.5,483.29,576.06,542.39,659.81,640.83,677.89,647.18,687.15,667.0,541.83,556.45,651.51,663.56,683.4,657.3,284.18,246.69,480.5,488.33,501.31,487.48,467.75,437.98,519.84,500.03,558.8,545.8,615.17,554.0
583.44,583.7,582.06,570.22,575.67,562.13,602.1,600.32,592.88,543.03,587.45,518.93,594.18,614.47,623.69,606.83,279.64,283.68,599.39,610.01,467.64,479.44,195.42,242.29,74.567,86.169,310.04,237.47,280.49,327.54,507.87,360.57,628.31,631.68,655.3,629.05,573.73,523.35,536.89,511.56,326.16,396.31,476.14,497.35,510.24,566.17,552.57,575.48,520.25,545.01,542.86,552.06,496.86,569.73,458.89,531.43,382.07,398.16,556.37,588.25,588.52,514.66,565.61,584.18,501.24,552.11,512.12,531.73,617.06,599.45,599.27,562.67,757.46,720.76,556.78,575.64,500.96,488.9,608.87,639.16,564.72,564.77,370.38,450.62,479.26,499.85,246.34,345.18,265.16,269.58,412.6,465.44,431.37,467.69,595.11,573.99,588.99,584.66,569.25,569.9,464.28,469.57,558.5,560.23,590.1,574.0,483.69,502.86,594.42,634.55,610.6,566.35,586.04,591.47,603.12,595.47,664.58,705.08,759.96,659.57,646.04,687.38,631.31,612.93,615.35,578.52,618.12,603.82,710.0,680,655.94,633.09,672.29,660.92,504.26,501.92,501.5,485.71,576.82,541.97,655.37,633.1,671.91,641.71,676.04,658.22,546.9,559.79,650.76,660.53,678.43,654.99,278.64,242.87,481.3,489.22,502.09,487.27,470.32,437.1,518.81,498.47,561.2,548.6,598.56,551.67
580.9,581.25,580.56,568.14,574.34,560.95,599.3,597.57,591.55,541.63,586.8,516.86,593.04,612.33,620.52,603.75,279.92,284.24,598.12,608.14,467.96,479.17,196.1,242.14,74.924,86.752,312.31,239.94,279.51,327.73,508.45,361.69,625.26,626.25,655.49,629.34,571.41,519.64,533.56,509.96,322.06,394.05,472.64,497.29,509.59,565.45,551.89,574.0,518.78,544.68,542.41,550.39,496.64,569.58,458.09,531.05,382.03,398.72,555.1,586.19,585.77,514.14,565.13,582.62,500.72,550.89,511.86,530.8,615.83,598.18,596.24,561.58,754.57,720.09,555.29,574.4,499.57,489.29,604.24,630.49,563.33,563.27,365.33,449.91,478.44,498.62,246.12,344.26,264.43,268.19,412.94,466.23,430.26,467.03,598.18,576.2,591.07,588.14,571.13,572.12,464.46,469.74,558.79,560.72,592.46,575.02,484.7,506.18,592.58,645.77,609.4,567.98,579.07,590.79,603.9,597.13,660.79,694.64,751.64,650.5,644.2,681.63,627.88,611.42,614.43,578.27,614.31,601.16,710.5,669,659.26,639.37,671.5,663.67,506.4,500.9,503.56,474.64,572.91,532.24,658.01,640.78,672.63,646.03,672.81,658.67,544.27,554.43,648.72,659.67,676.54,654.44,279.8,246.36,477.4,481.0,498.25,483.42,467.83,437.7,510.81,492.4,557.0,545.0,604.78,542.67
579.58,580.16,579.59,566.26,573.13,558.69,597.07,594.75,589.92,538.96,585.31,515.7,592.04,611.2,617.7,601.3,282.16,283.63,597.38,605.94,466.56,477.57,193.66,238.51,74.327,85.351,310.49,236.59,278.39,326.19,505.38,360.53,624.48,625.61,652.21,626.21,570.32,522.01,533.76,509.25,322.93,395.33,473.25,496.69,508.18,563.5,550.62,572.07,517.9,543.35,540.56,549.02,495.19,568.16,457.95,529.77,380.28,397.27,553.62,584.08,584.05,511.66,563.07,579.72,497.98,548.34,509.87,529.75,613.42,595.86,595.42,558.83,750.87,714.06,554.29,572.87,497.45,487.62,602.9,631.18,562.45,563.01,364.24,449.28,476.67,497.49,245.57,344.12,263.49,267.68,411.35,467.83,430.7,468.79,594.33,575.38,590.12,586.61,567.17,569.98,461.35,470.45,555.49,558.67,591.55,575.75,477.01,504.63,591.08,642.8,611.18,565.88,585.16,587.07,598.39,596.23,651.63,682.6,752.8,651.11,640.37,673.28,628.66,609.27,615.1,577.8,612.41,597.33,708.5,676,646.73,626.68,666.69,657.06,501.98,502.23,495.5,478.21,573.97,535.55,651.81,632.78,668.71,640.88,674.96,656.15,544.49,555.42,648.44,659.05,676.14,654.19,284.32,246.32,472.6,476.33,494.16,481.79,464.26,436.4,509.21,491.34,556.6,546.8,605.83,549.5
579.0,578.44,578.34,565.78,571.79,558.23,597.77,595.26,590.13,539.22,588.08,515.57,592.09,610.07,618.17,601.05,286.62,287.78,596.27,604.76,467.98,478.75,198.06,241.48,76.16,85.789,312.39,239.27,282.09,328.41,509.23,363.05,626.34,626.66,653.52,627.34,570.17,519.44,533.14,511.7,322.14,395.37,464.1,495.17,509.51,564.42,551.91,573.02,516.95,542.51,541.78,549.45,496.05,569.0,458.33,531.13,380.77,397.04,552.4,582.87,583.63,511.49,562.51,580.18,497.35,547.2,510.47,530.46,613.45,596.6,595.29,557.9,753.77,717.01,554.39,572.87,498.15,486.52,607.46,635.66,565.94,565.03,366.55,450.1,478.45,498.73,243.54,343.33,264.61,267.93,408.87,462.53,427.45,466.03,593.6,572.97,587.71,585.0,566.55,569.59,459.2,468.25,554.05,558.95,587.33,573.27,476.02,503.01,594.19,637.14,604.02,564.96,579.52,590.06,604.14,597.18,659.53,693.76,759.52,659.57,641.62,680.0,629.94,610.71,611.5,575.18,610.2,597.33,722.5,683,648.06,627.35,666.79,655.31,499.77,502.08,500.06,476.29,563.91,528.52,649.8,622.85,666.03,635.82,674.96,656.04,544.18,553.92,647.11,656.47,675.61,653.1,287.41,250.77,468.2,474.56,494.84,483.67,466.32,439.75,507.53,491.86,555.6,547.2,604.44,538.67
580.15,578.4,578.56,565.79,572.62,558.2,597.61,593.93,590.51,538.72,586.4,515.08,593.45,611.26,618.58,602.04,285.05,285.83,596.27,604.98,467.13,478.01,195.72,239.13,75.178,85.855,309.11,237.25,280.26,328.79,503.85,357.68,625.8,627.93,653.69,627.34,567.75,519.89,535.28,509.25,325.38,395.4,472.2,496.34,509.89,565.52,551.37,572.91,519.8,545.65,542.91,549.98,495.71,569.02,457.66,530.27,380.69,397.14,553.04,583.71,584.12,511.62,563.34,579.43,498.56,547.78,509.89,529.98,613.35,595.64,595.69,558.59,752.73,715.9,553.4,571.84,497.84,486.77,606.79,635.2,564.87,564.73,366.95,450.28,478.02,498.36,244.37,342.59,261.87,266.18,408.93,461.64,426.13,466.44,597.0,576.18,593.22,586.9,567.92,569.25,460.62,469.52,554.91,559.75,589.34,573.72,477.72,506.11,591.73,641.79,610.14,563.83,578.38,591.81,603.02,596.2,655.53,691.12,749.16,649.11,642.06,680.05,624.92,607.05,610.78,573.57,613.04,599.65,713.5,672,652.67,631.37,665.43,656.61,496.63,503.27,499.67,485.71,569.24,539.64,651.32,639.65,667.31,642.76,668.67,652.59,546.5,558.63,649.24,658.23,677.49,654.8,284.31,244.53,470.8,478.78,499.88,483.24,470.64,439.88,514.37,492.02,560.0,543.2,606.56,549.5
578.32,577.49,579.01,565.99,572.61,557.89,596.74,592.47,589.47,537.49,586.5,513.52,594.54,611.44,617.5,601.15,284.98,286.05,596.89,605.82,467.21,479.19,196.51,240.9,76.316,84.841,313.94,239.17,282.5,328.13,509.19,362.94,625.53,625.46,651.35,625.91,569.46,522.18,535.92,513.03,324.77,396.01,470.99,496.41,509.04,562.65,550.65,571.63,517.79,543.55,542.32,549.94,496.51,569.66,460.11,531.19,381.04,396.42,552.0,582.21,583.59,511.58,561.29,579.04,497.12,547.7,510.34,531.36,613.91,595.83,594.3,557.97,752.63,715.22,555.33,573.26,498.49,486.94,606.84,635.31,564.82,563.72,367.3,450.0,478.42,498.6,249.43,346.46,266.03,269.19,410.53,466.53,431.86,470.44,588.94,567.91,587.51,581.49,564.49,567.63,459.7,471.38,552.94,560.05,591.18,577.22,474.34,498.72,581.12,636.82,607.59,564.83,585.48,588.11,601.07,592.73,654.53,700.72,757.92,658.61,642.2,683.44,628.35,610.77,614.0,575.46,614.78,601.25,710.5,684,654.96,634.72,667.93,661.36,497.19,502.69,496.83,481.57,568.47,538.45,656.22,640.28,672.37,646.35,675.33,655.44,542.51,554.74,646.37,657.26,675.31,653.06,287.44,248.98,474.8,482.44,497.69,484.06,468.89,437.93,511.51,494.03,555.4,542.2,602.83,532.17
580.81,579.23,579.01,567.0,572.25,558.04,597.33,593.09,590.02,537.83,586.2,514.07,591.43,609.0,619.83,603.38,283.11,283.91,596.46,605.95,467.98,479.17,197.37,240.95,76.275,86.691,313.38,239.86,280.59,326.24,508.05,360.17,623.97,624.01,653.32,627.26,569.79,517.49,532.58,507.45,322.84,393.07,470.62,495.36,507.06,563.72,550.8,573.16,517.63,542.58,542.72,550.72,496.16,568.98,458.5,529.8,380.89,395.56,553.61,583.61,584.31,510.4,562.15,579.4,497.9,546.53,509.75,530.39,613.19,595.6,596.23,559.28,754.78,717.86,555.95,573.61,499.09,487.38,604.16,633.47,563.29,562.91,366.09,447.94,477.32,497.05,244.73,342.5,264.13,266.56,407.35,460.53,426.7,465.94,593.45,570.67,588.88,583.16,565.18,565.55,459.41,468.33,552.32,556.62,584.72,570.44,477.84,501.35,588.56,636.59,607.38,560.09,578.32,589.45,601.03,590.43,653.37,693.52,751.88,648.75,641.05,680.83,626.07,605.49,610.88,573.3,612.71,598.57,712.0,674,644.26,621.9,661.05,652.89,494.21,499.65,492.39,479.21,567.09,538.67,646.36,623.12,663.46,632.97,670.81,653.7,542.39,554.45,645.61,655.66,673.48,652.08,284.92,247.44,474.6,481.0,501.5,485.94,470.87,437.78,513.04,493.59,552.4,537.4,598.33,542.67
580.61,580.15,578.49,566.11,572.72,558.36,595.4,593.66,588.56,537.46,584.26,513.78,590.86,608.5,617.88,602.27,282.63,282.89,596.46,605.15,466.7,477.84,194.93,237.7,74.293,85.122,312.72,238.16,277.92,326.94,505.69,360.85,622.16,622.1,652.52,626.3,570.75,520.92,530.57,505.91,320.38,394.11,469.72,491.26,507.8,564.19,552.17,573.57,518.76,544.05,543.16,551.08,495.74,569.41,459.46,532.12,381.36,397.86,554.21,584.32,584.79,511.51,563.47,580.43,498.27,547.15,508.48,529.42,612.52,594.79,595.63,556.47,750.82,716.5,555.24,573.46,498.88,487.02,600.77,630.02,562.55,562.44,363.34,447.13,476.75,496.81,244.33,343.37,263.46,267.47,412.03,468.72,431.56,470.2,593.33,573.05,589.04,587.12,569.18,571.22,463.82,473.48,557.22,562.65,593.61,577.54,477.0,506.74,590.44,635.63,609.43,564.98,584.04,590.12,599.28,595.6,649.74,687.68,744.88,640.71,638.01,678.18,624.12,605.51,611.43,575.13,611.78,599.43,705.5,670,649.97,629.41,663.26,655.61,495.44,497.79,494.67,480.64,570.53,536.0,649.44,625.75,667.29,638.94,671.93,652.78,539.89,550.67,643.42,654.31,672.94,651.02,287.61,250.66,469.8,475.0,493.44,480.48,462.87,432.32,511.81,493.93,551.4,545.8,600.83,530.5
580.19,579.33,578.45,566.5,572.5,559.29,599.44,594.83,589.59,539.23,587.49,515.67,592.43,610.34,618.8,601.89,286.45,286.38,595.99,605.44,469.01,479.6,201.07,241.49,78.198,86.617,315.91,240.29,284.42,331.19,509.83,364.79,624.92,626.09,652.15,626.9,568.07,518.11,532.38,508.71,320.5,392.85,465.65,491.85,510.44,564.46,552.81,573.8,518.93,544.46,545.03,552.18,497.71,571.06,460.06,532.53,381.54,396.99,554.48,583.93,585.22,513.92,563.11,580.22,498.8,548.67,510.21,530.85,613.57,596.12,595.03,558.84,755.15,719.67,556.64,573.74,499.93,486.4,608.79,633.59,566.07,564.79,368.75,451.13,477.81,498.17,243.75,342.69,265.68,268.54,414.06,467.2,429.64,468.23,594.2,573.0,587.7,584.6,568.22,569.97,460.6,469.05,554.67,559.02,590.24,574.62,478.39,504.37,584.87,640.36,605.68,564.46,581.66,589.62,603.24,598.81,657.79,701.88,750.0,652.39,642.9,685.68,627.49,608.09,611.14,575.18,612.08,599.73,708.0,668,657.88,639.34,667.21,659.11,500.77,499.77,500.44,477.79,571.68,535.24,657.24,641.61,667.89,643.68,672.19,655.07,543.79,553.79,645.46,654.86,673.69,651.94,290.42,257.49,471.4,476.67,495.06,483.48,461.3,434.97,510.49,493.24,536.8,537.2,602.61,519.83
